business_name,email,phone,website,address,city,rating,category,proximity_notes,comments
550 West Broadway Vancouver - Sales and Leasing,Arnold@Praedia.ca,604-873-8771,http://www.550westbroadway.com/,550 West Broadway,Vancouver,,Sales & Leasing,TARGET,"TARGET BUILDING — Leasing office at 550 W Broadway. Contact: Arnold@Praedia.ca. Website: 550westbroadway.com. Praedia is the real estate firm managing this property."
550 East Broadway - 550 EB,550EB@cjadholdings.ca,,http://rent550eb.ca/,550 East Broadway,Vancouver,4.9,"Apartment building",DIFFERENT ADDRESS,"DIFFERENT ADDRESS — 550 E Broadway (not W). Owned by CJAD Holdings. Apartment building."
Hollyburn Court Rental Apartments,shannontower@hollyburn.com,(604) 243-9513,https://www.hollyburn.com/building/hollyburn-court/,550 W 12th Ave,Vancouver,,Apartments,DIFFERENT ADDRESS,"DIFFERENT ADDRESS — 550 W 12th Ave (not W Broadway). Managed by Hollyburn Properties."
Brix Property Management,info@brixpm.ca,(604) 363-7858,https://brixpm.ca/,1195 W Broadway #300,Vancouver,,Property Management,NEARBY,"NEARBY — PM company at 1195 W Broadway #300. Real contact. Could service 550 W Broadway area."
Turner Meakin,info@turnermeakin.com,604-736-7020,http://www.turnermeakin.com/,1177 W Broadway Ste 300,Vancouver,,Real Estate,NEARBY,"NEARBY — Real estate at 1177 W Broadway. Real contact."
Alwynds Real Estate Services,info@alwynds.com,604-259-6959,https://www.alwynds.com/,1285 W Broadway #600,Vancouver,,Real Estate,NEARBY,"NEARBY — Real estate at 1285 W Broadway. Real contact."
Plandn Property Services Corp.,info@plandn.com,+1 604 628 6368,https://www.plandn.com/,999 W Broadway #720,Vancouver,,Property Services,NEARBY,"NEARBY — Property services at 999 W Broadway. Real contact."
Gammon Property Advisors,info@gammoncorp.com,1 604 736 6761,http://www.gammoncorp.com/,1501 W Broadway,Vancouver,,Property Advisors,NEARBY,"NEARBY — Property advisors at 1501 W Broadway. Real contact."
Lionscrest Vancouver Property Management Solutions,email@website.com,,http://www.lionscrest.ca/,1477 W Broadway,Vancouver,,Property Management,NEARBY,"NEARBY — PM at 1477 W Broadway. Email is placeholder."
Westwood Ridge Development Corporation,info@westwoodridge.ca,,https://www.westwoodridge.ca/,1333 W Broadway #900,Vancouver,,Development,NEARBY,"NEARBY — Development corp at 1333 W Broadway."
Artin Properties,concierge@artinproperties.ca,,https://www.artinproperties.ca/,1755 W Broadway,Vancouver,,Property Management,NEARBY,"NEARBY — PM at 1755 W Broadway. Has concierge email."
Orr Development,info@orrdevelopment.com,,http://www.orrdevelopment.com/,1847 W Broadway,Vancouver,,Development,NEARBY,"NEARBY — Development at 1847 W Broadway."
Hunter McLeod Realty Corp.,admin@hmrealty.bc.ca,604-734-8860,http://www.hmrealty.bc.ca/,1557 W Broadway #201,Vancouver,,Real Estate,NEARBY,"NEARBY — Real estate at 1557 W Broadway. Real contact."
Dexter Property Management,info@dexterpm.ca,(604) 263-1144,http://dexterpm.ca/,2608 Granville St #560,Vancouver,,Property Management,NEARBY,PM company with real contact info.
Bolld Real Estate Management,info@bolld.ca,,https://bolldpm.com/,2123 Granville St B,Vancouver,,Property Management,NEARBY,PM company with email.
604 Real Estate Services Inc,info@604realestate.ca,604-689-0909,http://www.604realestate.ca/,,Vancouver,2.9,Real Estate,NEARBY,Real estate services with real contact.
Vancouver Rental Group,sevaroberts@gmail.com,604.537.4399,https://www.vancouverrentalgroup.ca/,1428 W 7th Ave,Vancouver,,Rental,NEARBY,Rental group with contact.
MasterHost,info@masterhost.ca,+1 (778) 658 08,https://masterhost.ca/,422 Richards St Ste 170,Vancouver,,Property Management,NEARBY,PM company.
Larchway Gardens Apartments,privacy@quadreal.com,(604) 913-7366,https://quadrealresidential.com/vancouver/larchway-gardens/,2475 W Broadway,Vancouver,,Apartments,NEARBY,"Managed by QuadReal. Further down Broadway."
Dunway Court Apartments,privacy@quadreal.com,(604) 239-5785,https://quadrealresidential.com/vancouver/dunway-court/,3550 W Broadway,Vancouver,,Apartments,NEARBY,"Managed by QuadReal. Further down Broadway."
