business_name,email,phone,website,address,city,rating,category,proximity_notes,web_research,comments
Renzullo Food Market,contact@renzullofoodmarket.com,604 255 9655,http://renzullofoodmarket.com/,1370 Nanaimo St,Vancouver,,"Grocery Store",TARGET,"Family-owned Italian market since 1970s. Website: renzullofoodmarket.com. No PM company found — family owned/operated.","TARGET BUILDING — Renzullo family owned. Building likely family-owned, not professionally managed. Best contact: visit in person or call 604-255-9655."
Axford Real Estate,admin@axfordrealestate.ca,778.355.0116,https://www.axfordrealestate.ca/,Vancouver,,,NEARBY,"Real estate brokerage. Website axfordrealestate.ca","NEARBY PM — real estate brokerage. Could know who manages nearby commercial properties."
Vancouver Property Management VPM Group,info@vpmgroup.ca,1 778-300-7910,http://vpmgroup.ca/homepage,Vancouver,,,NEARBY,"Property management company. Real contact info.","NEARBY PM — legitimate PM company with real email and phone."
Vada Property Management,info@vadapm.com,012345678910,https://vadapm.com/,Vancouver,,,NEARBY,"PM company website vadapm.com but phone is garbled","NEARBY PM — has website and email but phone is invalid."
Rancho Management Services,pmgr@ranchogroup.com,(604) 684-4508,http://www.ranchovan.com/,Vancouver,,,NEARBY,"Established PM company in Vancouver. Real contact info.","NEARBY PM — legitimate established PM company. Good contact."
Vancouver Management Ltd,vml@vml.bc.ca,(604) 263-1766,http://vml.bc.ca/,Vancouver,,,NEARBY,PM company with real contact info,NEARBY PM — real Vancouver PM company.
Martello Property Services,,604.681.6544,http://www.martello.group/,Vancouver,,,NEARBY,,NEARBY PM — phone only.
HostGenius Vancouver,support@hostgenius.ca,+1 (604) 398-5232,https://www.hostgenius.ca/,Vancouver,,,NEARBY,Short-term rental management company,NEARBY PM — focuses on short-term rentals.
Bolld Real Estate Management,info@bolld.ca,8552668588,https://bolldpm.com/,Vancouver,,,NEARBY,Property management website,NEARBY PM — has email and website.
Bodewell,info@bodewell.ca,(604) 633-5511,http://bodewell.ca/,Vancouver,,,NEARBY,PM company,NEARBY PM — good contact info.
FirstService Residential Vancouver,,(855) 683-8900,https://www.fsresidential.com/bc/vancouver/,Vancouver,,,NEARBY,"Major national PM company. Office in Vancouver.","NEARBY PM — large national PM company. Good for referrals."
Darell Pinazo,bugreport@moatable.com,778.231.6088,http://darellpinazo.com/,1269 Nanaimo St,Vancouver,,Real Estate,ADJACENT,"Real estate agent. Address is 1269 Nanaimo St — same block as Renzullo.","ADJACENT — real estate agent at 1269 Nanaimo St. Could know who owns the Renzullo building."
Barry Liang Real Estate,,778.231.6088,http://barryliangrealestate.ca/,1269 Nanaimo St,Vancouver,,Real Estate,ADJACENT,"Real estate agent. Same address as Darell Pinazo — 1269 Nanaimo St.","ADJACENT — same address as Darell Pinazo. Could be shared office space."
Vancouver Rent It,peter@vancouverrentit.com,(604) 388-7368,http://www.vancouverrentit.com/,Vancouver,,,NEARBY,Rental listing site,NEARBY — rental agency.
Austeville Properties Ltd.,,604.216.5500,http://www.austeville.com/,Vancouver,,,NEARBY,Property development/management company,NEARBY PM — development company.
