business_name,email,phone,website,address,city,rating,category,proximity_notes,comments
Arbour Place Apartments,privacy@quadreal.com,(604) 670-2745,,4769 Hazel St,Burnaby,,Apartments,TARGET,"TARGET BUILDING — likely the apartment building at/near 6700 Dunblane. Managed by QuadReal (privacy@quadreal.com). Real phone 604-670-2745."
Heer Properties Group,info@heerpro.com,,,6699 Dunblane Ave,Burnaby,,Property Management,ADJACENT,"ADJACENT — at 6699 Dunblane Ave, next door to 6700. Real email info@heerpro.com. Best PM candidate — they manage properties in this exact area."
Polaris,,,,"6699 Dunblane Ave",Burnaby,,,ADJACENT,"ADJACENT — at 6699 Dunblane Ave. Reviews mention 'beautiful buildings and nice views'. Same building as Heer Properties."
Bayside Property Services,mail@baysideproperty.com,604.432.7774,,6400 Roberts St #100,Burnaby,,Property Management,NEARBY,PM company with real email and phone in Burnaby.
Strataco Management Ltd,managers@stratacomgmt.com,(604) 294-4141,,4126 Norland Ave #101,Burnaby,,Property Management,NEARBY,Strata management company with real contact.
Rolan Property Management - Burnaby,,46-777822357,,6080 McKay Ave,Burnaby,,Property Management,NEARBY,PM company. Phone is garbled.
Axford Real Estate,admin@axfordrealestate.ca,778.355.0116,https://www.axfordrealestate.ca/,,Burnaby,,Real Estate,NEARBY,Real estate brokerage.
Uooi Property Management,,,,"4388 Beresford St. #403A",Burnaby,,Property Management,NEARBY,PM company no contact info.
Greater Vancouver Tenant & Property Management,,,,"",Burnaby,,Property Management,NEARBY,PM company no contact info.
Ascent Real Estate Management,,,,"",Burnaby,,Property Management,NEARBY,No contact info.
Hazel Apartments,,,,"",Burnaby,,Apartments,NEARBY,Apartments nearby.
